A股代码,B股代码,证券简称,扩位证券简称,上市日期
600697,-,欧亚集团,欧亚集团,19931206
600698,900946,湖南天雁,湖南天雁,19931206
600699,-,均胜电子,均胜电子,19931206
600702,-,舍得酒业,舍得酒业,19960524
600703,-,三安光电,三安光电,19960528
600704,-,物产中大,物产中大,19960606
600705,-,中航产融,中航产融,19960516
600706,-,曲江文旅,曲江文旅,19960516
600707,-,彩虹股份,彩虹股份,19960520
600708,-,光明地产,光明地产,19960606
600710,-,苏美达,苏美达,19960701
600711,-,盛屯矿业,盛屯矿业,19960531
600712,-,南宁百货,南宁百货,19960626
600713,-,南京医药,南京医药,19960701
600714,-,金瑞矿业,金瑞矿业,19960606
600715,-,文投控股,文投控股,19960701
600716,-,凤凰股份,凤凰股份,19960702
600717,-,天津港,天津港,19960614
600718,-,东软集团,东软集团,19960618
600719,-,ST热电,ST热电,19960716
600720,-,祁连山,祁连山,19960716
600721,-,百花医药,百花医药,19960626
600722,-,金牛化工,金牛化工,19960626
600724,-,宁波富达,宁波富达,19960716
600725,-,云维股份,云维股份,19960702
600726,900937,*ST华源,*ST华源,19960701
600727,-,鲁北化工,鲁北化工,19960702
600728,-,佳都科技,佳都科技,19960716
600729,-,重庆百货,重庆百货,19960702
600730,-,中国高科,中国高科,19960726
600731,-,湖南海利,湖南海利,19960802
600732,-,爱旭股份,爱旭股份,19960816
600733,-,北汽蓝谷,北汽蓝谷,19960816
600734,-,ST实达,ST实达,19960808
600735,-,新华锦,新华锦,19960726
600736,-,苏州高新,苏州高新,19960815
600737,-,中粮糖业,中粮糖业,19960731
600738,-,丽尚国潮,丽尚国潮,19960802
600739,-,辽宁成大,辽宁成大,19960819
600740,-,山西焦化,山西焦化,19960808
600741,-,华域汽车,华域汽车,19960826
600742,-,一汽富维,一汽富维,19960826
600743,-,华远地产,华远地产,19960909
600744,-,华银电力,华银电力,19960905
600745,-,闻泰科技,闻泰科技,19960828
600746,-,江苏索普,江苏索普,19960918
600748,-,上实发展,上实发展,19960925
600749,-,西藏旅游,西藏旅游,19961015
600750,-,江中药业,江中药业,19960923
600751,900938,海航科技,海航科技,19960909
600753,-,东方银星,东方银星,19960927
600754,900934,锦江酒店,锦江酒店,19961011
600755,-,厦门国贸,厦门国贸,19961003
600756,-,浪潮软件,浪潮软件,19960923
600757,-,长江传媒,长江传媒,19961003
600758,-,辽宁能源,辽宁能源,19961029
600759,-,ST洲际,ST洲际,19961008
600760,-,中航沈飞,中航沈飞,19961011
600761,-,安徽合力,安徽合力,19961009
600763,-,通策医疗,通策医疗,19961030
600764,-,中国海防,中国海防,19961104
600765,-,中航重机,中航重机,19961106
600766,-,*ST园城,*ST园城,19961028
600767,-,*ST运盛,*ST运盛,19961115
600768,-,宁波富邦,宁波富邦,19961111
600769,-,祥龙电业,祥龙电业,19961101
600770,-,综艺股份,综艺股份,19961120
600771,-,广誉远,广誉远,19961105
